sample_id	status	gzip_r1	gzip_r2	fastq_blocks_r1	fastq_blocks_r2	read_count_r1	read_count_r2	pair_sync	detail	r1_path	r2_path
DBR_AFX	PASS	OK	OK	OK	OK	18954392	18954392	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFX_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFX_R2.trimmed.fastq.gz
DBR_AGB	PASS	OK	OK	OK	OK	36892052	36892052	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGB_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGB_R2.trimmed.fastq.gz
DBR_ACW	PASS	OK	OK	OK	OK	26897020	26897020	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACW_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACW_R2.trimmed.fastq.gz
DBR_ACX	PASS	OK	OK	OK	OK	30569987	30569987	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACX_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACX_R2.trimmed.fastq.gz
DBR_ADB	PASS	OK	OK	OK	OK	30177929	30177929	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADB_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADB_R2.trimmed.fastq.gz
DBR_AEV	PASS	OK	OK	OK	OK	30338126	30338126	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AEV_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AEV_R2.trimmed.fastq.gz
DBR_AFG	PASS	OK	OK	OK	OK	34109606	34109606	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFG_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFG_R2.trimmed.fastq.gz
DBR_AFH	PASS	OK	OK	OK	OK	30218915	30218915	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFH_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFH_R2.trimmed.fastq.gz
DBR_AGJ	PASS	OK	OK	OK	OK	32686307	32686307	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGJ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGJ_R2.trimmed.fastq.gz
DBR_AGK	PASS	OK	OK	OK	OK	24602900	24602900	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGK_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGK_R2.trimmed.fastq.gz
