sample_id	status	gzip_r1	gzip_r2	fastq_blocks_r1	fastq_blocks_r2	read_count_r1	read_count_r2	pair_sync	detail	r1_path	r2_path
DSW_AACW	PASS	OK	OK	OK	OK	34104485	34104485	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACW_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACW_R2.trimmed.fastq.gz
DSW_AADB	PASS	OK	OK	OK	OK	34365810	34365810	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AADB_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AADB_R2.trimmed.fastq.gz
DSW_AAAD	PASS	OK	OK	OK	OK	31140742	31140742	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAD_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAD_R2.trimmed.fastq.gz
DSW_AAAG	PASS	OK	OK	OK	OK	30507858	30507858	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAG_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAG_R2.trimmed.fastq.gz
DSW_AAAJ	PASS	OK	OK	OK	OK	32878009	32878009	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAJ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAJ_R2.trimmed.fastq.gz
DSW_AAAK	PASS	OK	OK	OK	OK	31261729	31261729	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAK_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAK_R2.trimmed.fastq.gz
DSW_AAAN	PASS	OK	OK	OK	OK	26639746	26639746	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAN_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAN_R2.trimmed.fastq.gz
DSW_AAAO	PASS	OK	OK	OK	OK	36622088	36622088	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAO_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAO_R2.trimmed.fastq.gz
DSW_AAAS	PASS	OK	OK	OK	OK	31343883	31343883	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAS_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAS_R2.trimmed.fastq.gz
DSW_AAAU	PASS	OK	OK	OK	OK	25109321	25109321	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAU_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAU_R2.trimmed.fastq.gz
