sample_id	status	gzip_r1	gzip_r2	fastq_blocks_r1	fastq_blocks_r2	read_count_r1	read_count_r2	pair_sync	detail	r1_path	r2_path
DSW_AABX	PASS	OK	OK	OK	OK	35035093	35035093	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABX_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABX_R2.trimmed.fastq.gz
DSW_AABY	PASS	OK	OK	OK	OK	30442812	30442812	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABY_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABY_R2.trimmed.fastq.gz
DSW_AABZ	PASS	OK	OK	OK	OK	30758041	30758041	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABZ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABZ_R2.trimmed.fastq.gz
DSW_AACB	PASS	OK	OK	OK	OK	43688189	43688189	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACB_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACB_R2.trimmed.fastq.gz
DSW_AACC	PASS	OK	OK	OK	OK	30272193	30272193	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACC_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACC_R2.trimmed.fastq.gz
DSW_AACD	PASS	OK	OK	OK	OK	27968880	27968880	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACD_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACD_R2.trimmed.fastq.gz
DSW_AACG	PASS	OK	OK	OK	OK	36079136	36079136	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACG_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACG_R2.trimmed.fastq.gz
DSW_AACL	PASS	OK	OK	OK	OK	25845716	25845716	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACL_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACL_R2.trimmed.fastq.gz
DSW_AACR	PASS	OK	OK	OK	OK	39027031	39027031	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACR_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACR_R2.trimmed.fastq.gz
DSW_AACS	PASS	OK	OK	OK	OK	34624066	34624066	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACS_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AACS_R2.trimmed.fastq.gz
