sample_id	status	gzip_r1	gzip_r2	fastq_blocks_r1	fastq_blocks_r2	read_count_r1	read_count_r2	pair_sync	detail	r1_path	r2_path
DBR_AGL	PASS	OK	OK	OK	OK	36136891	36136891	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGL_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGL_R2.trimmed.fastq.gz
DBR_AGM	PASS	OK	OK	OK	OK	36384089	36384089	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGM_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AGM_R2.trimmed.fastq.gz
DBR_ACY	PASS	OK	OK	OK	OK	27137961	27137961	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACY_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACY_R2.trimmed.fastq.gz
DBR_ACZ	PASS	OK	OK	OK	OK	20545159	20545159	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACZ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ACZ_R2.trimmed.fastq.gz
DBR_ADE	PASS	OK	OK	OK	OK	19478602	19478602	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADE_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADE_R2.trimmed.fastq.gz
DBR_ADM	PASS	OK	OK	OK	OK	33147937	33147937	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADM_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADM_R2.trimmed.fastq.gz
DBR_ADN	PASS	OK	OK	OK	OK	19704097	19704097	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADN_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADN_R2.trimmed.fastq.gz
DBR_ADO	PASS	OK	OK	OK	OK	32802599	32802599	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADO_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADO_R2.trimmed.fastq.gz
DBR_ADV	PASS	OK	OK	OK	OK	21681327	21681327	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADV_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_ADV_R2.trimmed.fastq.gz
DBR_AFK	PASS	OK	OK	OK	OK	37963756	37963756	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFK_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DBR_AFK_R2.trimmed.fastq.gz
