sample_id	status	gzip_r1	gzip_r2	fastq_blocks_r1	fastq_blocks_r2	read_count_r1	read_count_r2	pair_sync	detail	r1_path	r2_path
DSW_AAAV	PASS	OK	OK	OK	OK	24995089	24995089	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAV_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAV_R2.trimmed.fastq.gz
DSW_AAAW	PASS	OK	OK	OK	OK	31508173	31508173	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAW_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAW_R2.trimmed.fastq.gz
DSW_AAAX	PASS	OK	OK	OK	OK	30081237	30081237	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAX_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAX_R2.trimmed.fastq.gz
DSW_AAAY	PASS	OK	OK	OK	OK	23581568	23581568	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAY_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAY_R2.trimmed.fastq.gz
DSW_AAAZ	PASS	OK	OK	OK	OK	31803814	31803814	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAZ_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AAAZ_R2.trimmed.fastq.gz
DSW_AABA	PASS	OK	OK	OK	OK	26012913	26012913	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABA_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABA_R2.trimmed.fastq.gz
DSW_AABB	PASS	OK	OK	OK	OK	25447449	25447449	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABB_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABB_R2.trimmed.fastq.gz
DSW_AABC	PASS	OK	OK	OK	OK	29856639	29856639	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABC_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABC_R2.trimmed.fastq.gz
DSW_AABD	PASS	OK	OK	OK	OK	28994984	28994984	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABD_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABD_R2.trimmed.fastq.gz
DSW_AABF	PASS	OK	OK	OK	OK	30584889	30584889	OK	ok	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABF_R1.trimmed.fastq.gz	/home/jbonnier/work/chapitre_5/full_workflow_nuclear/02-filtering_indexing/workflow_full/cleaned_reads/DSW_AABF_R2.trimmed.fastq.gz
